armilar_category,label_en
CP01,Food and non-alcoholic beverages
CP02,Alcoholic beverages and tobacco excluding narcotics
CP03,Clothing and footwear
CP04,Housing water electricity gas and other fuels
CP05,Furnishings household equipment and routine maintenance
CP06,Health
CP07,Transport
CP08,Information and communication
CP09,Recreation sport and culture
CP10,Education services
CP11,Restaurants and accommodation services
CP12,Insurance financial services personal care social protection and miscellaneous goods and services
