mapping_id,source_provider,source_classification,source_classification_version,source_code,source_label,armilar_category,mapping_type,effective_from,effective_to,strict_pilot_admissible,bridge_status,notes
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP01,Food and non-alcoholic beverages,ARM01,EXACT_ONE_TO_ONE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional division mapping; cross-division reclassifications require validation against the official back series.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP02,Alcoholic beverages tobacco and narcotics,ARM02,EXACT_ONE_TO_ONE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Narcotics remain excluded by HICP source scope but the classification bridge is not ratified.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP03,Clothing and footwear,ARM03,EXACT_ONE_TO_ONE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional division mapping.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP04,Housing water electricity gas and other fuels,ARM04,EXACT_MERGE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional merge with CP05.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP05,Furnishings household equipment and routine household maintenance,ARM04,EXACT_MERGE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional merge with CP04.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP06,Health,ARM05,EXACT_ONE_TO_ONE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional division mapping.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP07,Transport,ARM06,EXACT_MERGE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional merge with CP08.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP08,Information and communication,ARM06,EXACT_MERGE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional merge with CP07.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP09,Recreation sport and culture,ARM07,EXACT_MERGE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional merge with CP10.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP10,Education services,ARM07,EXACT_MERGE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional merge with CP09.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP11,Restaurants and accommodation services,ARM08,EXACT_ONE_TO_ONE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional division mapping.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP12,Insurance and financial services,ARM09,EXACT_MERGE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional merge with CP13.
EUROSTAT_ECOICOP_V2_TO_ARMILAR_V1_PROVISIONAL,EUROSTAT,ECOICOP,V2,CP13,Personal care social protection and miscellaneous goods and services,ARM09,EXACT_MERGE,1996-01,,false,BACKSERIES_VALIDATION_REQUIRED,Provisional merge with CP12.
