economy_code,category_code,real_expenditure_central,real_expenditure_lower,real_expenditure_upper,evidence_class,method_id,model_version,source_ids,donor_economies,validation_mae,validation_bias,notes
AAA,CP01,101,101,101,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP02,102,102,102,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP03,103,103,103,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP04,104,104,104,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP05,105,105,105,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP06,106,106,106,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP07,107,107,107,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP08,108,108,108,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP09,109,109,109,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP10,110,110,110,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP11,111,111,111,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
AAA,CP12,112,112,112,A_OFFICIAL_EXACT,sample-official,sample-1.0.0,SAMPLE-AAA,,,,SYNTHETIC TEST DATA ONLY
BBB,CP01,72,64.8,79.2,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP02,74,66.60000000000001,81.4,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP03,76,68.4,83.60000000000001,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP04,78,70.2,85.80000000000001,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP05,80,72.0,88.0,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP06,82,73.8,90.2,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP07,84,75.60000000000001,92.4,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP08,86,77.4,94.60000000000001,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP09,88,79.2,96.80000000000001,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP10,90,81.0,99.00000000000001,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP11,92,82.8,101.2,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
BBB,CP12,94,84.60000000000001,103.4,C_OWN_ECONOMY_ESTIMATE,sample-own-economy-allocation,sample-1.0.0,SAMPLE-BBB,,,,SYNTHETIC TEST DATA ONLY
