criterion,status,evidence,source_id,source_authority,source_url,source_retrieved_at,source_sha256,review_mode
official_2021_household_survey_available,CONFIRMED,The NBS release reports 2021 household consumption from a national household sample survey.,CHN_NBS_2021_HOUSEHOLD_CONSUMPTION,National Bureau of Statistics of China,https://www.stats.gov.cn/english/PressRelease/202201/t20220118_1826649.html,2026-06-30T13:01:33Z,0caf89164cd8513e51bc8196ea6667d7732cad700e28bba1bd7a9297a291aae1,STRUCTURED_HTML_MARKER_VALIDATION
survey_has_twelve_armilar_categories,CONTRADICTED,"The survey publishes eight groups, combining food with tobacco and alcohol and combining education with culture and recreation.",CHN_NBS_2021_HOUSEHOLD_CONSUMPTION,National Bureau of Statistics of China,https://www.stats.gov.cn/english/PressRelease/202201/t20220118_1826649.html,2026-06-30T13:01:33Z,0caf89164cd8513e51bc8196ea6667d7732cad700e28bba1bd7a9297a291aae1,STRUCTURED_HTML_MARKER_VALIDATION
survey_is_national_accounts_s14_p31,CONTRADICTED,The values are collected through a household income and expenditure survey and cannot be substituted for national-accounts S14/P31 expenditure.,CHN_NBS_2021_HOUSEHOLD_CONSUMPTION,National Bureau of Statistics of China,https://www.stats.gov.cn/english/PressRelease/202201/t20220118_1826649.html,2026-06-30T13:01:33Z,0caf89164cd8513e51bc8196ea6667d7732cad700e28bba1bd7a9297a291aae1,STRUCTURED_HTML_MARKER_VALIDATION
yearbook_relevant_table_families_identified,AMBIGUOUS,The yearbook table inventory was not structurally confirmed.,CHN_NBS_YEARBOOK_2022_INDEX,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2022/indexeh.htm,2026-06-30T13:01:33Z,23c0e9b64c38d11bf663a7da8b75f8ac102ad87eb90c788a3936f9d274258686,STRUCTURED_YEARBOOK_INDEX_VALIDATION
input_output_reference_year_matches_2021,CONTRADICTED,"The input-output benchmark described in the 2022 yearbook is 2020, not 2021.",CHN_NBS_YEARBOOK_2022_NATIONAL_ACCOUNTS_BRIEF,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2022/html/sme03.htm,2026-06-30T13:01:34Z,49b051faf47bc4c84d6592b265dd4ee6d3c0baef71528fd944f1f7d3a1558b5f,STRUCTURED_HTML_MARKER_VALIDATION
input_output_is_exact_purpose_classification,CONTRADICTED,The input-output source is product-oriented and does not expose a COICOP purpose dimension; conversion would require allocation.,CHN_NBS_YEARBOOK_2022_NATIONAL_ACCOUNTS_BRIEF,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2022/html/sme03.htm,2026-06-30T13:01:34Z,49b051faf47bc4c84d6592b265dd4ee6d3c0baef71528fd944f1f7d3a1558b5f,STRUCTURED_HTML_MARKER_VALIDATION
current_price_2021_national_accounts_aggregate_available,CONFIRMED,The final 2021 GDP verification publishes official current-price national-accounts aggregates.,CHN_NBS_2021_GDP_FINAL_VERIFICATION,National Bureau of Statistics of China,https://www.stats.gov.cn/english/PressRelease/202212/t20221227_1891279.html,2026-06-30T13:01:37Z,09f351e3e5d64619b97cf89ac58460062e6147a800c511ba31bbdd0a1bc146e7,STRUCTURED_HTML_MARKER_VALIDATION
twelve_purpose_categories_in_2021_national_accounts,AMBIGUOUS,A 2021 twelve-purpose national-accounts table was not conclusively assessed in this run.,CHN_NBS_2021_GDP_FINAL_VERIFICATION,National Bureau of Statistics of China,https://www.stats.gov.cn/english/PressRelease/202212/t20221227_1891279.html,2026-06-30T13:01:37Z,09f351e3e5d64619b97cf89ac58460062e6147a800c511ba31bbdd0a1bc146e7,CROSS_SOURCE_METHOD_GATE
narcotics_excludable_without_allocation,CONTRADICTED,"The survey combines food, tobacco and alcohol, so CP02 and narcotics cannot be isolated without an allocation.",CHN_NBS_2021_HOUSEHOLD_CONSUMPTION,National Bureau of Statistics of China,https://www.stats.gov.cn/english/PressRelease/202201/t20220118_1826649.html,2026-06-30T13:01:33Z,0caf89164cd8513e51bc8196ea6667d7732cad700e28bba1bd7a9297a291aae1,STRUCTURED_HTML_MARKER_VALIDATION
exact_armilar_source_available,AMBIGUOUS,The complete critical Chinese source chain was not validated in this run.,CHN_NBS_2021_GDP_FINAL_VERIFICATION,National Bureau of Statistics of China,https://www.stats.gov.cn/english/PressRelease/202212/t20221227_1891279.html,2026-06-30T13:01:37Z,09f351e3e5d64619b97cf89ac58460062e6147a800c511ba31bbdd0a1bc146e7,CROSS_SOURCE_METHOD_GATE
