economy_code,source_id,source_authority,source_url,reference_period,concept,granularity,machine_readable,status,rejection_reason
IND,IND_MOSPI_NAS2024_STATEMENT_5_1,Ministry of Statistics and Programme Implementation,https://www.mospi.gov.in/sites/default/files/reports_and_publication/statistical_publication/National_Accounts/NAS2024/5.1.xlsx,2021-22,PFCE classified by item,12 Armilar groups plus narcotics split,true,BLOCKED_BY_METHOD_GATE,"Statement 5.1 is PFCE by item. The workbook supports exact item aggregation, but the strict households-only S14/P31 boundary and NPISH exclusion are not confirmed in this source file."
RUT,RUT_ROSSTAT_OFFICIAL_SOURCE_AUDIT,Federal State Statistics Service,https://eng.rosstat.gov.ru/storage/mediabank/BRICS_Joint_Statistical_Publication_2025.pdf,2021,HFCE_BY_PURPOSE_OR_COICOP_HH,structured source not located,not accepted,REJECTED,No deterministic official XLS/XLSX/CSV/SDMX/HTML Rosstat table with 2021 strict household COICOP-HH values has passed the gates.
CHN,CHN_NBS_OFFICIAL_SOURCE_AUDIT,National Bureau of Statistics of China,https://www.stats.gov.cn/english/PressRelease/202201/t20220118_1826649.html,2021,HOUSEHOLD_SURVEY_EIGHT_GROUPS,8 groups,not accepted,REJECTED,"Official NBS table is a household survey with eight combined groups, not national-accounts S14/P31 with twelve Armilar categories."
IDN,IDN_BPS_OFFICIAL_SOURCE_AUDIT,Badan Pusat Statistik,https://www.bps.go.id/en/publication/2025/05/28/2a1c585ebbd574dd91afed67/gross-domestic-product-of-indonesia-by-expenditure--2020-2024.html,2021,HFCE_REGROUPED,7 groups,not accepted,REJECTED,Official source identified in probe regroups COICOP and cannot be bridged exactly to twelve Armilar categories.
BRA,BRA_IBGE_OFFICIAL_SOURCE_AUDIT,Instituto Brasileiro de Geografia e Estatistica,https://www.ibge.gov.br/estatisticas/economicas/comercio/9052-sistema-de-contas-nacionais-brasil.html,2021,SNA_PRODUCT_TABLES,product tables,not accepted,REJECTED,Official product tables would require many-to-many product-to-COICOP allocation.
EGY,EGY_CAPMAS_OFFICIAL_SOURCE_AUDIT,Central Agency for Public Mobilization and Statistics,https://www.censusinfo.capmas.gov.eg/metadata-en-v4.2/index.php/catalog/747/overview,2021,HOUSEHOLD_SURVEY,survey microdata,not accepted,REJECTED,"Official HIECS is a survey source, not national-accounts S14/P31 current-price HFCE."
PAK,PAK_PBS_OFFICIAL_SOURCE_AUDIT,Pakistan Bureau of Statistics,https://www.pbs.gov.pk/national-accounts-2/,2021-22,HFCE_AGGREGATE,aggregate only,not accepted,REJECTED,Public national-accounts source does not expose a twelve-category strict household table.
NGA,NGA_NBS_OFFICIAL_SOURCE_AUDIT,National Bureau of Statistics,https://www.nigerianstat.gov.ng/elibrary/read/1241168,2021,HFCE_AGGREGATE,aggregate only,not accepted,REJECTED,"Official expenditure-GDP report publishes aggregate household consumption, not twelve categories."
BGD,BGD_BBS_OFFICIAL_SOURCE_AUDIT,Bangladesh Bureau of Statistics,https://nsds.bbs.gov.bd/en/posts/85/Survey%20documentation%20for%20the%20Household%20Income%20and%20Expenditure%20Survey,2022,HOUSEHOLD_SURVEY,survey,not accepted,REJECTED,Official HIES reference year and concept do not satisfy 2021 national-accounts HFCE gates.
VNM,VNM_NSO_OFFICIAL_SOURCE_AUDIT,National Statistics Office of Viet Nam,https://www.nso.gov.vn/en/default/2024/04/results-of-the-viet-nam-household-living-standards-survey-2022/,2022,HOUSEHOLD_SURVEY,survey,not accepted,REJECTED,"Official VHLSS is 2022 survey evidence only, not exact 2021 S14/P31 HFCE."
