economy_code,economy_name,armilar_category,nominal_household_expenditure_lcu,ppp_lcu_per_international_dollar,real_expenditure_ppp,numerator_source_id,numerator_source_file,numerator_source_hash,ppp_source_heading,ppp_scope,derivation,quality_flags
ABW,Aruba,CP01,331409338.847059000000000,2.66849660873413,124193277.1292790001781716365,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1101000/page_0001.json,82e3557962d2a937db6c3a3bfb4f7e2d1b239274b612b37e07afbe23e71f55bd,1101000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ABW,Aruba,CP02,24383029.56169381000000000,3.246017121798743690806458660,7511676.200950606762714507113,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1102100/page_0001.json|raw/world_bank_icp_2021/data/1102200/page_0001.json,a8559c00c26318bdf8735f06d1f95a39a287275b83e0abe4e72f8d1468f670fb|017d2a7d67fc3e7ca16ec34ad465577f7be5d50dd440a8043988ec52f60819c1,1102100+1102200,STRICT_HFCE_COMPOSITE,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,OBSERVED_PARTICIPANT|STRICT_HFCE|NARCOTICS_EXCLUDED|NO_DOUBLE_COUNTING
ABW,Aruba,CP03,65699609.5104364000000000,1.6906373500824,38860852.98377813888598680335,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1103000/page_0001.json,67312784b54abe10080b54d9d1e53ab8e11fb5a40934da427c6291d308accc4a,1103000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ABW,Aruba,CP05,234592913.043354000000000,1.78697001934052,131279713.9875521503044079565,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1105000/page_0001.json,7e43e4eeed0876023a091f8cc1e6be2b171e87a4f49b2b32e8511bda700f9167,1105000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ABW,Aruba,CP07,401715422.258958000000000,1.76846933364868,227154304.9209367010741863855,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1107000/page_0001.json,87d4aa25927cc2fc205ea887c1a59af3a1d37883273de87054cb8204060064c4,1107000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ABW,Aruba,CP08,222753759.274469000000000,1.49086546897888,149412380.8682999213552369790,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1108000/page_0001.json,5bc837a4848d76f53ad7e19dded198dd2938ad073a9684262529f1c9e105634d,1108000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
ABW,Aruba,CP11,121690294.65515000000000,1.31366896629333,92633911.41720683288486143602,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1111000/page_0001.json,5808095da0497759e9af18ff6bd3270ad9bbea5334e3cb7613ea7bb184051ca9,1111000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
AGO,Angola,CP01,13552148203335.9000000000,464.836303710938,29154668202.85922998831626270,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1101000/page_0001.json,82e3557962d2a937db6c3a3bfb4f7e2d1b239274b612b37e07afbe23e71f55bd,1101000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
AGO,Angola,CP02,874295867858.2238000000000,371.8810890133123838131719554,2351009216.892247680162154110,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1102100/page_0001.json|raw/world_bank_icp_2021/data/1102200/page_0001.json,a8559c00c26318bdf8735f06d1f95a39a287275b83e0abe4e72f8d1468f670fb|017d2a7d67fc3e7ca16ec34ad465577f7be5d50dd440a8043988ec52f60819c1,1102100+1102200,STRICT_HFCE_COMPOSITE,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,OBSERVED_PARTICIPANT|STRICT_HFCE|NARCOTICS_EXCLUDED|NO_DOUBLE_COUNTING
AGO,Angola,CP03,301871870043.565000000000,238.327911376953,1266624073.947038689284873247,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1103000/page_0001.json,67312784b54abe10080b54d9d1e53ab8e11fb5a40934da427c6291d308accc4a,1103000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING
