economic_gap_rank,source_adjusted_priority_rank,economy_code,economy_name,categories_available,missing_categories,direct_categories_available,direct_real_expenditure_ppp_indicator,direct_expenditure_share_of_participant_indicator,cumulative_direct_expenditure_share_of_incomplete_economies,source_probe_class,source_probe_best_source_id,source_probe_retrieval_status,candidate_success_probability_assumption,integration_cost_assumption,development_priority_score,blocking_reason
1,2,CHN,China,7,CP04|CP06|CP09|CP10|CP12,7,4250477729204.786921129134845,0.1341629915892573582716072229,0.1341629915892573582716072229,D_UNAVAILABLE,CHN_NBS_YEARBOOK_2022_NATIONAL_ACCOUNTS_BRIEF,ACQUIRED_DISCOVERY_EVIDENCE,0.01,HIGH,0.0003354074789731433956790180572,SOURCE_IS_DOCUMENTATION_OR_DISCOVERY_EVIDENCE_ONLY
2,3,IND,India,7,CP04|CP06|CP09|CP10|CP12,7,2738333824243.992325787050947,0.08643335672749392696355897533,0.2205963483167512852351661982,D_UNAVAILABLE,IND_MOSPI_NAS2024_STATEMENT_5_1,ACQUIRED_DATASET,0.01,HIGH,0.0002160833918187348174088974383,Official methodology confirms that PFCE combines resident households and NPISH and that the components are not available separately. Fiscal 2021-22 also differs from calendar 2021.
3,5,RUT,Russian Federation,7,CP04|CP06|CP09|CP10|CP12,7,1132575277205.191168200743713,0.03574884920484193107030646505,0.2563451975215932163054726632,D_UNAVAILABLE,RUT_ROSSTAT_SUT_2021_XLSX,ACCESS_BLOCKED,0.01,HIGH,0.00008937212301210482767576616262,SOURCE_ACQUISITION_FAILED:AcquisitionError
4,4,IDN,Indonesia,7,CP04|CP06|CP09|CP10|CP12,7,1003117027099.082648209895014,0.03166260120480941455370261295,0.2880077987264026308591752762,D_UNAVAILABLE,IDN_BPS_SURVEY_OR_CPI_CLASS_C,ACCESS_BLOCKED,0.01,MEDIUM,0.0001583130060240470727685130648,SOURCE_ACQUISITION_FAILED:AcquisitionError
5,7,BRA,Brazil,7,CP04|CP06|CP09|CP10|CP12,7,925720598025.7769764250136916,0.02921964370112590877578368054,0.3172274424275285396349589567,D_UNAVAILABLE,BRA_IBGE_TABELAS_RECURSOS_USOS,ACQUIRED_DISCOVERY_EVIDENCE,0.01,HIGH,0.00007304910925281477193945920135,SOURCE_IS_DOCUMENTATION_OR_DISCOVERY_EVIDENCE_ONLY
6,10,EGY,"Egypt, Arab Rep.",7,CP04|CP06|CP09|CP10|CP12,7,629709800961.2399224339623290,0.01987629535135610435898149398,0.3371037377788846439939404507,D_UNAVAILABLE,EGY_CAPMAS_HIECS_2021,ACCESS_BLOCKED,0.01,HIGH,0.00004969073837839026089745373495,SOURCE_ACQUISITION_FAILED:AcquisitionError
7,8,PAK,Pakistan,7,CP04|CP06|CP09|CP10|CP12,7,449256141571.9210012761432473,0.01418041730438905360908324479,0.3512841550832736976030236955,D_UNAVAILABLE,PAK_PBS_HIES_2018_19,ACQUIRED_DISCOVERY_EVIDENCE,0.01,MEDIUM,0.00007090208652194526804541622395,SOURCE_IS_DOCUMENTATION_OR_DISCOVERY_EVIDENCE_ONLY
8,1,NGA,Nigeria,7,CP04|CP06|CP09|CP10|CP12,7,359624835881.0402617572469628,0.01135127552841518951587585614,0.3626354306116888871188995516,C_ONLY,NGA_NBS_CONSUMPTION_PATTERN_2019,ACQUIRED_DATASET,0.10,MEDIUM,0.000567563776420759475793792807,Wrong reference year and survey concept; cannot be exact 2021 S14/P31 weights.
9,9,BGD,Bangladesh,7,CP04|CP06|CP09|CP10|CP12,7,337286065279.7556123713034947,0.01064616977719526458030630190,0.3732816003888841516992058535,D_UNAVAILABLE,BGD_BBS_HIES_DOCUMENTATION,ACCESS_BLOCKED,0.01,MEDIUM,0.0000532308488859763229015315095,SOURCE_ACQUISITION_FAILED:AcquisitionError
10,11,VNM,Viet Nam,7,CP04|CP06|CP09|CP10|CP12,7,298220123293.3900523708576038,0.009413083997182544819047086179,0.3826946843860666965182529397,D_UNAVAILABLE,VNM_NSO_VHLSS_2022,ACCESS_BLOCKED,0.01,MEDIUM,0.00004706541998591272409523543090,SOURCE_ACQUISITION_FAILED:AcquisitionError
11,,THA,Thailand,7,CP04|CP06|CP09|CP10|CP12,7,292888938892.9723318218585695,0.009244809348203772996093635716,0.3919394937342704695143465754,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
12,,ARG,Argentina,7,CP04|CP06|CP09|CP10|CP12,7,286408574700.5688074539740411,0.009040261741550763306085779274,0.4009797554758212328204323547,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
13,6,SAU,Saudi Arabia,6,CP02|CP04|CP06|CP09|CP10|CP12,6,269946650971.0719492883308040,0.008520654046705440133356107018,0.4095004095225266729537884617,D_UNAVAILABLE,SAU_GASTAT_HOUSEHOLD_EXPENDITURE_SURVEY,CONTENT_VALIDATION_FAILED,0.01,LOW,0.00008520654046705440133356107018,SOURCE_CONTENT_NOT_VALIDATED:INVALID_PDF_SIGNATURE
14,,TWN,"Taiwan, China",7,CP04|CP06|CP09|CP10|CP12,7,259284623873.7688542997019636,0.008184115534351552561058151209,0.4176845250568782255148466129,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
15,,ZAF,South Africa,7,CP04|CP06|CP09|CP10|CP12,7,214903155003.0327894370825834,0.006783249322558122679968304023,0.4244677743794363481948149169,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
16,,UKR,Ukraine,7,CP04|CP06|CP09|CP10|CP12,7,176061877333.6825470569358392,0.005557254895281362658260340738,0.4300250292747177108530752576,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
17,,PER,Peru,7,CP04|CP06|CP09|CP10|CP12,7,142701517368.6635876095416585,0.004504261331134682419254981436,0.4345292906058523932723302390,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
18,,DZA,Algeria,7,CP04|CP06|CP09|CP10|CP12,7,130467000125.8448909525336795,0.004118088402226289176542593996,0.4386473790080786824488728330,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
19,,KAZ,Kazakhstan,7,CP04|CP06|CP09|CP10|CP12,7,127230337588.9282687571679173,0.004015925691024682600524173410,0.4426633046991033650493970064,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
20,,ETH,Ethiopia,7,CP04|CP06|CP09|CP10|CP12,7,126528485694.2582560956960847,0.003993772287139154202159082732,0.4466570769862425192515560891,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
21,,ARE,United Arab Emirates,7,CP04|CP06|CP09|CP10|CP12,7,89991643109.97046088115389187,0.002840515543631664187074440725,0.4494975925298741834386305298,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
22,,SDN,Sudan,7,CP04|CP06|CP09|CP10|CP12,7,89065111497.61428397735622200,0.002811270300900095041667897171,0.4523088628307742784802984270,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
23,,MAR,Morocco,7,CP04|CP06|CP09|CP10|CP12,7,89048082646.57629318403647629,0.002810732798589969515117679909,0.4551195956293642479954161069,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
24,,LKA,Sri Lanka,7,CP04|CP06|CP09|CP10|CP12,7,67150579318.66701519025146906,0.002119555302323529634041884595,0.4572391509316877776294579915,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
25,,UZB,Uzbekistan,7,CP04|CP06|CP09|CP10|CP12,7,62166992581.16133680030283265,0.001962252300603438689758064144,0.4592014032322912163192160556,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
26,,ECU,Ecuador,7,CP04|CP06|CP09|CP10|CP12,7,59807689458.65895186526971409,0.001887782750320671944569734223,0.4610891859826118882637857898,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
27,,SGP,Singapore,7,CP04|CP06|CP09|CP10|CP12,7,58073503006.40265750981604918,0.001833044516825258751074217330,0.4629222304994371470148600071,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
28,,GHA,Ghana,7,CP04|CP06|CP09|CP10|CP12,7,56860388067.20592436610465214,0.001794753496438074348497605727,0.4647169839958752213633576128,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
29,,TUN,Tunisia,7,CP04|CP06|CP09|CP10|CP12,7,55329388437.53034289390333245,0.001746428695433235374534781464,0.4664634126913084567378923943,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
30,,DOM,Dominican Republic,7,CP04|CP06|CP09|CP10|CP12,7,52469402816.97217305259265074,0.001656155495289182589134773061,0.4681195681865976393270271674,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
31,,CIV,Cote d'Ivoire,7,CP04|CP06|CP09|CP10|CP12,7,51577972692.65827461358995853,0.001628018203462197451619749463,0.4697475863900598367786469169,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
32,,AGO,Angola,7,CP04|CP06|CP09|CP10|CP12,7,47481858795.28486483543694601,0.001498727585001584426639446903,0.4712463139750614212052863638,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
33,,NPL,Nepal,7,CP04|CP06|CP09|CP10|CP12,7,45574733324.21191778977205580,0.001438530667187574929838396864,0.4726848446422489961351247607,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
34,12,BLR,Belarus,11,CP02,6,45339107231.88508784800514865,0.001431093314622274383428458494,0.4741159379568712705185532192,D_UNAVAILABLE,BLR_BELSTAT_LIVING_STANDARDS,ACQUIRED_DOCUMENTATION_EVIDENCE,0.01,LOW,0.00001431093314622274383428458494,Survey detail cannot replace exact national-accounts S14/P31 CP02 weights.
