economy_code,economy_name,icp_participation_status,eligible_complete_12_category_matrix,included_in_observed_research_weights,official_imputation_category_detail_available,participation_status_basis
ABW,Aruba,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
AFG,Afghanistan,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
AGO,Angola,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
AIA,Anguilla,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ALB,Albania,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
AND,Andorra,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
ARE,United Arab Emirates,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ARG,Argentina,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ARM,Armenia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ATG,Antigua and Barbuda,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
AUS,Australia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
AUT,Austria,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
AZE,Azerbaijan,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BDI,Burundi,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BEL,Belgium,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BEN,Benin,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BFA,Burkina Faso,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BGD,Bangladesh,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BGR,Bulgaria,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BHR,Bahrain,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BHS,"Bahamas, The",OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
BIH,Bosnia and Herzegovina,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BLR,Belarus,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BLZ,Belize,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BMU,Bermuda,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BOL,Bolivia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BON,Bonaire,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BRA,Brazil,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BRB,Barbados,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
BRN,Brunei Darussalam,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BTN,Bhutan,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
BWA,Botswana,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CAF,Central African Republic,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CAN,Canada,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CHE,Switzerland,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CHL,Chile,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CHN,China,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CIV,Cote d'Ivoire,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CMR,Cameroon,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
COD,"Congo, Dem. Rep.",PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
COG,"Congo, Rep.",PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
COL,Colombia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
COM,Comoros,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CPV,Cabo Verde,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CRI,Costa Rica,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CUW,Curacao,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CYM,Cayman Islands,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CYP,Cyprus,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
CZE,Czechia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
DEU,Germany,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
DJI,Djibouti,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
DMA,Dominica,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
DNK,Denmark,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
DOM,Dominican Republic,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
DZA,Algeria,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
EAB,East Asia & Pacific (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
ECB,Europe & Central Asia (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
ECU,Ecuador,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
EGY,"Egypt, Arab Rep.",PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ERI,Eritrea,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
ESP,Spain,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
EST,Estonia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ETH,Ethiopia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
FIN,Finland,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
FJI,Fiji,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
FRA,France,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
FRO,Faroe Islands,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
GAB,Gabon,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GBR,United Kingdom,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
GEO,Georgia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
