economy_code,economy_name,check,measure_basis,reported_value,derived_value,difference,relative_error,tolerance,status,missing_heading_codes
ABW,Aruba,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,0.0243830295616938,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
ABW,Aruba,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
ABW,Aruba,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
AGO,Angola,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,874.295867858224,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
AGO,Angola,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
AGO,Angola,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
AIA,Anguilla,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,0.0268668840446793,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
AIA,Anguilla,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
AIA,Anguilla,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
ALB,Albania,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,41.1583206411534,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
ALB,Albania,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000|1113000
ALB,Albania,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1113000|1104000|1106000|1109000|1110000|1112000
ARE,United Arab Emirates,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,2.04608088201682,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
ARE,United Arab Emirates,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
ARE,United Arab Emirates,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
ARG,Argentina,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,1018.90147694178,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
ARG,Argentina,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
ARG,Argentina,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
ARM,Armenia,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,259.637,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
ARM,Armenia,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
ARM,Armenia,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
ATG,Antigua and Barbuda,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,0.0509776054411069,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
ATG,Antigua and Barbuda,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
ATG,Antigua and Barbuda,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
AUS,Australia,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,45.7638143927025,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
AUS,Australia,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
AUS,Australia,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
AUT,Austria,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,7.5758407206593,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
AUT,Austria,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
AUT,Austria,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
AZE,Azerbaijan,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,1.8277,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
AZE,Azerbaijan,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
AZE,Azerbaijan,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
BDI,Burundi,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,929.221308429654,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
BDI,Burundi,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
BDI,Burundi,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
BEL,Belgium,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,10.1637,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
BEL,Belgium,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
BEL,Belgium,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
BEN,Benin,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,131.267906858844,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
BEN,Benin,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
BEN,Benin,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
BFA,Burkina Faso,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,338.747992277001,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
BFA,Burkina Faso,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
