measure_id,measure_name,selected,semantic_kind
AICZS,Expenditure component share of AIC (AIC = 100%),false,OTHER
CD,"Expenditure, market exchange rate-based (US$, billions)",false,OTHER
CD.ZS,"Share of global expenditure, market exchange rate-based (World = 100%)",false,OTHER
CN,"Expenditure (local currency units, billions)",true,NOMINAL_EXPENDITURE
EXR,Market exchange rate (US$ = 1),false,OTHER
PCAP.CD,"Expenditure per capita, market exchange rate-based (US$)",false,OTHER
PCAP.CD.IX.US,"Expenditure per capita index, market exchange rate-based (United States= 100)",false,OTHER
PCAP.CD.IX.WL,"Expenditure per capita index, market exchange rate-based (World = 100)",false,OTHER
PCAP.PP,"Expenditure per capita, PPP-based (US$)",false,OTHER
PCAP.PP.IX.US,"Expenditure per capita index, PPP-based (United States = 100)",false,OTHER
PCAP.PP.IX.WL,"Expenditure per capita index, PPP-based (World = 100)",false,OTHER
POP,Population,false,OTHER
PP.CD,"Expenditure, PPP-based (US$, billions)",true,REAL_EXPENDITURE
PP.CD.ZS,"Share of global expenditure, PPP-based (World = 100%)",false,OTHER
PPPGlob,Purchasing power parity (PPP) (US$ = 1),true,PPP
PX.WL,Price level index (World = 100),false,OTHER
ZS,Expenditure component share of GDP (GDP = 100%),false,OTHER
