economy_code,economy_name,armilar_category,heading_code,reason,data_status,included_in_candidate_weights
AFG,Afghanistan,CP01,,OFFICIAL_ICP_IMPUTATION_AVAILABLE_ONLY_AT_HFCE_AGGREGATE_NO_PUBLIC_CATEGORY_ALLOCATION,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false
AFG,Afghanistan,CP02,,OFFICIAL_ICP_IMPUTATION_AVAILABLE_ONLY_AT_HFCE_AGGREGATE_NO_PUBLIC_CATEGORY_ALLOCATION,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false
AFG,Afghanistan,CP03,,OFFICIAL_ICP_IMPUTATION_AVAILABLE_ONLY_AT_HFCE_AGGREGATE_NO_PUBLIC_CATEGORY_ALLOCATION,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false
AFG,Afghanistan,CP04,,OFFICIAL_ICP_IMPUTATION_AVAILABLE_ONLY_AT_HFCE_AGGREGATE_NO_PUBLIC_CATEGORY_ALLOCATION,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false
AFG,Afghanistan,CP05,,OFFICIAL_ICP_IMPUTATION_AVAILABLE_ONLY_AT_HFCE_AGGREGATE_NO_PUBLIC_CATEGORY_ALLOCATION,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false
AFG,Afghanistan,CP06,,OFFICIAL_ICP_IMPUTATION_AVAILABLE_ONLY_AT_HFCE_AGGREGATE_NO_PUBLIC_CATEGORY_ALLOCATION,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false
AFG,Afghanistan,CP07,,OFFICIAL_ICP_IMPUTATION_AVAILABLE_ONLY_AT_HFCE_AGGREGATE_NO_PUBLIC_CATEGORY_ALLOCATION,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false
AFG,Afghanistan,CP08,,OFFICIAL_ICP_IMPUTATION_AVAILABLE_ONLY_AT_HFCE_AGGREGATE_NO_PUBLIC_CATEGORY_ALLOCATION,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false
AFG,Afghanistan,CP09,,OFFICIAL_ICP_IMPUTATION_AVAILABLE_ONLY_AT_HFCE_AGGREGATE_NO_PUBLIC_CATEGORY_ALLOCATION,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false
AFG,Afghanistan,CP10,,OFFICIAL_ICP_IMPUTATION_AVAILABLE_ONLY_AT_HFCE_AGGREGATE_NO_PUBLIC_CATEGORY_ALLOCATION,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false
