economy_code,economy_name,armilar_12_category_nominal_lcu,derived_narcotics_nominal_lcu,net_purchases_abroad_nominal_lcu,reconstructed_hfce_nominal_lcu,aic_nominal_lcu,aic_minus_hfce_lcu,aic_hfce_financing_gap_ratio,status,interpretation
AUS,Australia,1128334693882.1840000000000,0.0000000000000,-15096837085.4352000000000,1113237856796.7488000000000,1411669378927.3000000000,298431522130.5512000000000,0.2680752548150523569838185710,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
AUT,Austria,193761282825.7779000000000,368820599.3481000000000,-2091959441.109000000000,192038143984.0170000000000,259963200019.000000000,67925056034.9830000000000,0.3537060639402778440722560867,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
AZE,Azerbaijan,48084200000.0000,0.0000,423100000.0000,48507300000.0000,54156100000.0000,5648800000.0000,0.1164525751794059863154617965,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
BEL,Belgium,235854900004.000000000,646800000.0000,6006300000.0000,242508000004.000000000,327337900017.000000000,84829900013.000000000,0.3498024807907400583767836103,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
BFA,Burkina Faso,6375745014589.976000000000,0.001000000000,-34803319579.8162000000000,6340941695010.1608000000000,7427574175017.28000000000,1086632480007.1192000000000,0.1713676820056895298824659182,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
BGR,Bulgaria,64837373288.4019000000000,160297089.9277000000000,-1972013106.3118000000000,63025657272.0178000000000,94617700004.0001000000000,31592042731.9823000000000,0.5012568547382459359238851671,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
BIH,Bosnia and Herzegovina,27826685080.5380000000000,1.0000000000000,-1339478319.5801000000000,26487206761.9579000000000,30521200012.9998000000000,4033993251.0419000000000,0.1522996851761545446702137276,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
BMU,Bermuda,3340471482.6939556000000000,0.0000000000000000,0,3340471482.6939556000000000,3844031719.35661000000000,503560236.6626544000000000,0.1507452583479483462316815841,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
BTN,Bhutan,105263878815.632949000000000,1415698154.623481000000000,0,106679576970.256430000000000,124533858850.875000000000,17854281880.618570000000000,0.1673636359243959321339621089,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
CAN,Canada,1351224437106.3504000000000,-0.0001000000000,-8240214502.02792000000000,1342984222604.32238000000000,1700264305820.51000000000,,,WARN_CONCEPT_OR_UNIT_MISMATCH,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
CHE,Switzerland,351833123107.3241000000000,1031135250.7116000000000,-1807410619.455000000000,351056847738.5807000000000,420346800016.000000000,69289952277.4193000000000,0.1973753046658044795725544171,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
CHL,Chile,148941206890384.32000000000,-0.01000000000,38759762163.3471000000000,148979966652547.6571000000000,169694626183230.00000000,,,WARN_CONCEPT_OR_UNIT_MISMATCH,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
COL,Colombia,844425977418351.4000000000,7345000000000,7510000000000,859280977418351.4000000000,937082000000000,77801022581648.6000000000,0.09054200503238910342582036846,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
CRI,Costa Rica,26295810391149.593000000000,,,,,,,UNAVAILABLE,Financing exposure cannot be calculated because a required public control cell is unavailable.
CYM,Cayman Islands,2558075948.6020334000000000,0.0000000000000000,0,2558075948.6020334000000000,2774563166.45126000000000,216487217.8492266000000000,0.08462892509799601950086750247,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
CYP,Cyprus,15015544452.1112000000000,77924335.4557000000000,-1013451159.4485000000000,14080017628.1184000000000,16973300012.0006000000000,2893282383.8822000000000,0.2054885484023962300020180263,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
CZE,Czechia,2729446000001.000000000,10036000000.000,-23530000000.00,2715952000001.000000000,3539310000001.000000000,823358000000.000000000,0.3031563149863093470300703734,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
DEU,Germany,1705582001938.4106000000000,4139999991.6313000000000,21007999957.5339000000000,1730730001887.5758000000000,2302352000006.000000000,571621998118.4242000000000,0.3302779737422934192456428821,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
DNK,Denmark,1120751619845.6805000000000,1.0000000000000,776999584.3179000000000,1121528619430.9984000000000,1591219000019.000000000,469690380588.0016000000000,0.4187948238238418960966721982,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
ESP,Spain,682197000008.000000000,7434000000.000,-16243000000.000,673388000008.000000000,844559000013.000000000,171171000005.000000000,0.2541937189301954448973822468,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
EST,Estonia,14939120733.8513000000000,52281250.4906000000000,-706582.3796000000000,14990695401.9623000000000,19127700014.0006000000000,4137004612.0383000000000,0.2759714943908980457675593065,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
FIN,Finland,121687726268.0811000000000,399012695.2091000000000,-37001177.25000000000,122049737786.0402000000000,169088000016.999000000000,47038262230.9588000000000,0.3854024030221139931503245468,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
