attempt_errors,economy_code,error,error_type,failure_receipt,retrieval_status,retrieved_at,source_id,source_title,source_url
attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>|attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>|attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>|attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>,BGD,Acquisition failed for source_probe_BGD_BBS_PORTAL: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>,AcquisitionError,raw/source_probe/BGD/BGD_BBS_PORTAL/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:44:34Z,BGD_BBS_PORTAL,Bangladesh Bureau of Statistics data portal,https://bbs.portal.gov.bd/
attempt=1:URLError:<urlopen error timed out>|attempt=2:URLError:<urlopen error timed out>|attempt=3:URLError:<urlopen error timed out>|attempt=4:URLError:<urlopen error timed out>,BGD,Acquisition failed for source_probe_BGD_BBS_HIES_2022: attempt=1:URLError:<urlopen error timed out>; attempt=2:URLError:<urlopen error timed out>; attempt=3:URLError:<urlopen error timed out>; attempt=4:URLError:<urlopen error timed out>,AcquisitionError,raw/source_probe/BGD/BGD_BBS_HIES_2022/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:52:34Z,BGD_BBS_HIES_2022,Household Income and Expenditure Survey 2022 documentation,https://nsds.bbs.gov.bd/en/posts/85/Survey%20documentation%20for%20the%20Household%20Income%20and%20Expenditure%20Survey
attempt=1:URLError:<urlopen error timed out>|attempt=2:URLError:<urlopen error timed out>|attempt=3:URLError:<urlopen error timed out>|attempt=4:URLError:<urlopen error timed out>,BRA,Acquisition failed for source_probe_BRA_IBGE_CLASSIFICACOES_METODOLOGIA: attempt=1:URLError:<urlopen error timed out>; attempt=2:URLError:<urlopen error timed out>; attempt=3:URLError:<urlopen error timed out>; attempt=4:URLError:<urlopen error timed out>,AcquisitionError,raw/source_probe/BRA/BRA_IBGE_CLASSIFICACOES_METODOLOGIA/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:52:33Z,BRA_IBGE_CLASSIFICACOES_METODOLOGIA,IBGE classifications and methodology,https://www.ibge.gov.br/estatisticas/metodos-e-classificacoes/classificacoes-e-listas-estatisticas.html
"attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>|attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>|attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>|attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>",EGY,"Acquisition failed for source_probe_EGY_CAPMAS_CENTRAL_DATA_CATALOG: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>",AcquisitionError,raw/source_probe/EGY/EGY_CAPMAS_CENTRAL_DATA_CATALOG/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:44:59Z,EGY_CAPMAS_CENTRAL_DATA_CATALOG,CAPMAS Central Data Catalog,https://www.censusinfo.capmas.gov.eg/Metadata-en-v4.2/index.php/catalog/?sort_by=titl&sort_order=desc
"attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>|attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>|attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>|attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>",EGY,"Acquisition failed for source_probe_EGY_CAPMAS_HIECS_2021: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1016)>",AcquisitionError,raw/source_probe/EGY/EGY_CAPMAS_HIECS_2021/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:45:01Z,EGY_CAPMAS_HIECS_2021,"Household Income, Expenditure and Consumption Survey catalogue entry",https://www.censusinfo.capmas.gov.eg/metadata-en-v4.2/index.php/catalog/747/overview
attempt=1:HTTPError:HTTP Error 403: Forbidden|attempt=2:HTTPError:HTTP Error 403: Forbidden|attempt=3:HTTPError:HTTP Error 403: Forbidden|attempt=4:HTTPError:HTTP Error 403: Forbidden,IDN,Acquisition failed for source_probe_IDN_BPS_STATISTICS_TABLES_EXPENDITURE: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden,AcquisitionError,raw/source_probe/IDN/IDN_BPS_STATISTICS_TABLES_EXPENDITURE/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:45:11Z,IDN_BPS_STATISTICS_TABLES_EXPENDITURE,BPS expenditure statistics table catalogue,https://www.bps.go.id/en/statistics-table?subject=531
attempt=1:HTTPError:HTTP Error 403: Forbidden|attempt=2:HTTPError:HTTP Error 403: Forbidden|attempt=3:HTTPError:HTTP Error 403: Forbidden|attempt=4:HTTPError:HTTP Error 403: Forbidden,IDN,Acquisition failed for source_probe_IDN_BPS_NATIONAL_ACCOUNTS_HOME: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden,AcquisitionError,raw/source_probe/IDN/IDN_BPS_NATIONAL_ACCOUNTS_HOME/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:45:14Z,IDN_BPS_NATIONAL_ACCOUNTS_HOME,BPS national accounts and supply-use discovery portal,https://www.bps.go.id/en
attempt=1:HTTPError:HTTP Error 403: Forbidden|attempt=2:HTTPError:HTTP Error 403: Forbidden|attempt=3:HTTPError:HTTP Error 403: Forbidden|attempt=4:HTTPError:HTTP Error 403: Forbidden,IDN,Acquisition failed for source_probe_IDN_BPS_GDP_EXPENDITURE_2020_2024: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden,AcquisitionError,raw/source_probe/IDN/IDN_BPS_GDP_EXPENDITURE_2020_2024/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:45:23Z,IDN_BPS_GDP_EXPENDITURE_2020_2024,Gross Domestic Product of Indonesia by Expenditure 2020-2024,https://www.bps.go.id/en/publication/2025/05/28/2a1c585ebbd574dd91afed67/gross-domestic-product-of-indonesia-by-expenditure--2020-2024.html
attempt=1:URLError:<urlopen error timed out>|attempt=2:URLError:<urlopen error timed out>|attempt=3:URLError:<urlopen error timed out>|attempt=4:URLError:<urlopen error timed out>,IND,Acquisition failed for source_probe_IND_NSC_NATIONAL_ACCOUNTS_PORTAL: attempt=1:URLError:<urlopen error timed out>; attempt=2:URLError:<urlopen error timed out>; attempt=3:URLError:<urlopen error timed out>; attempt=4:URLError:<urlopen error timed out>,AcquisitionError,raw/source_probe/IND/IND_NSC_NATIONAL_ACCOUNTS_PORTAL/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:53:29Z,IND_NSC_NATIONAL_ACCOUNTS_PORTAL,National Accounts Statistics portal,https://nsc.mospi.gov.in/national-accounts-statistics-0
attempt=1:HTTPError:HTTP Error 403: Forbidden|attempt=2:HTTPError:HTTP Error 403: Forbidden|attempt=3:HTTPError:HTTP Error 403: Forbidden|attempt=4:HTTPError:HTTP Error 403: Forbidden,RUT,Acquisition failed for source_probe_RUT_FEDSTAT_HFCE_31414: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden,AcquisitionError,raw/source_probe/RUT/RUT_FEDSTAT_HFCE_31414/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:46:15Z,RUT_FEDSTAT_HFCE_31414,Household final consumption expenditure indicator 31414,https://www.fedstat.ru/indicator/31414
attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>|attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>|attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>|attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>,RUT,Acquisition failed for source_probe_RUT_ROSSTAT_SUT_2021_XLSX: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>,AcquisitionError,raw/source_probe/RUT/RUT_ROSSTAT_SUT_2021_XLSX/failure_receipt.json,ACCESS_BLOCKED,2026-07-01T21:46:31Z,RUT_ROSSTAT_SUT_2021_XLSX,Base input-output and supply-use tables for 2021,https://rosstat.gov.ru/storage/mediabank/Rezultaty_RB_2021.xlsx
