economy_code,source_id,source_authority,source_url,reference_period,concept,granularity,machine_readable,status,rejection_reason
IND,IND_MOSPI_NAS2024_STATEMENT_5_1,Ministry of Statistics and Programme Implementation,https://www.mospi.gov.in/sites/default/files/reports_and_publication/statistical_publication/National_Accounts/NAS2024/5.1.xlsx,2021-22,PFCE classified by item,12 Armilar groups plus narcotics split,true,ACQUIRED_BUT_REJECTED,MoSPI Statement 5.1 is machine-readable and supports exact category aggregation plus an explicit narcotics exclusion. MoSPI methodology defines PFCE as expenditure of households and NPISH combined and states that the two are not separately available. The table reports fiscal year 2021-22 rather than calendar year 2021. It is therefore not admissible to the strict S14/P31DC Armilar 2021 exact matrix.
IND,IND_MOSPI_PFCE_CHAPTER_22,Ministry of Statistics and Programme Implementation,https://mospi.gov.in/sites/default/files/reports_and_publication/statistical_manual/Chapter%2022.pdf,METHODOLOGY,PFCE institutional-sector boundary,"Chapter 22, paragraphs 22.1-22.3",documentary_evidence,ACQUIRED_DOCUMENTATION,MoSPI Statement 5.1 is machine-readable and supports exact category aggregation plus an explicit narcotics exclusion. MoSPI methodology defines PFCE as expenditure of households and NPISH combined and states that the two are not separately available. The table reports fiscal year 2021-22 rather than calendar year 2021. It is therefore not admissible to the strict S14/P31DC Armilar 2021 exact matrix.
RUT,RUT_FEDSTAT_HFCE_31414,Federal State Statistics Service,https://www.fedstat.ru/indicator/31414,2021,Household final consumption expenditure aggregate,FEDSTAT_INDICATOR_AGGREGATE,unknown_this_run,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for RUT_FEDSTAT_HFCE_31414: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden
RUT,RUT_ROSSTAT_HBS_2021,Federal State Statistics Service,https://rosstat.gov.ru/bgd/regl/b21_102/,2021,Household budget survey expenditure by purpose,KIPC_DH_HOUSEHOLD_SURVEY,unknown_this_run,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for RUT_ROSSTAT_HBS_2021: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>
RUT,RUT_ROSSTAT_KIPC_DH_CLASSIFICATION,Federal State Statistics Service,https://rosstat.gov.ru/storage/mediabank/KIPC_DX.docx,2021,KIPC-DH classification documentation,CLASSIFICATION_ONLY,unknown_this_run,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for RUT_ROSSTAT_KIPC_DH_CLASSIFICATION: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>
RUT,RUT_ROSSTAT_NATIONAL_ACCOUNTS_2015_2022,Federal State Statistics Service,https://rosstat.gov.ru/storage/mediabank/Nac-sch_2015-2022.pdf,2021,National Accounts of Russia 2015-2022,OFFICIAL_NATIONAL_ACCOUNTS_PUBLICATION,unknown_this_run,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for RUT_ROSSTAT_NATIONAL_ACCOUNTS_2015_2022: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>
RUT,RUT_ROSSTAT_SUT_2021_XLSX,Federal State Statistics Service,https://rosstat.gov.ru/storage/mediabank/Rezultaty_RB_2021.xlsx,2021,2021 supply and use tables,SUT_PRODUCT_CLASSIFICATION,unknown_this_run,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for RUT_ROSSTAT_SUT_2021_XLSX: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>
CHN,CHN_NBS_2021_GDP_FINAL_VERIFICATION,National Bureau of Statistics of China,https://www.stats.gov.cn/english/PressRelease/202212/t20221227_1891279.html,2021,Final verification of 2021 GDP at current prices,GDP_AGGREGATE_PUBLICATION,true,ACQUIRED_BUT_REJECTED,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.
CHN,CHN_NBS_2021_HOUSEHOLD_CONSUMPTION,National Bureau of Statistics of China,https://www.stats.gov.cn/english/PressRelease/202201/t20220118_1826649.html,2021,Household survey consumption expenditure in eight groups,HOUSEHOLD_SURVEY_EIGHT_GROUPS,true,ACQUIRED_BUT_REJECTED,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.
CHN,CHN_NBS_YEARBOOK_2022_HOUSEHOLD_SURVEY_NOTES,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2022/html/zbe06.pdf,2021,Household survey explanatory notes,SURVEY_METHODOLOGY_DOCUMENTATION,false,SOURCE_NOT_MACHINE_READABLE,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.
CHN,CHN_NBS_YEARBOOK_2022_INDEX,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2022/indexeh.htm,2021,Official 2022 yearbook table inventory,YEARBOOK_TABLE_INVENTORY,true,REVIEW_REQUIRED,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.
