economy_code,economy_name,categories_available,categories_required,complete,missing_categories
ABW,Aruba,7,12,false,CP04|CP06|CP09|CP10|CP12
AGO,Angola,7,12,false,CP04|CP06|CP09|CP10|CP12
AIA,Anguilla,7,12,false,CP04|CP06|CP09|CP10|CP12
ALB,Albania,7,12,false,CP04|CP06|CP09|CP10|CP12
ARE,United Arab Emirates,7,12,false,CP04|CP06|CP09|CP10|CP12
ARG,Argentina,7,12,false,CP04|CP06|CP09|CP10|CP12
ARM,Armenia,7,12,false,CP04|CP06|CP09|CP10|CP12
ATG,Antigua and Barbuda,7,12,false,CP04|CP06|CP09|CP10|CP12
AUS,Australia,12,12,true,
AUT,Austria,12,12,true,
AZE,Azerbaijan,12,12,true,
BDI,Burundi,7,12,false,CP04|CP06|CP09|CP10|CP12
BEL,Belgium,12,12,true,
BEN,Benin,7,12,false,CP04|CP06|CP09|CP10|CP12
BFA,Burkina Faso,12,12,true,
BGD,Bangladesh,7,12,false,CP04|CP06|CP09|CP10|CP12
BGR,Bulgaria,12,12,true,
BHR,Bahrain,7,12,false,CP04|CP06|CP09|CP10|CP12
BIH,Bosnia and Herzegovina,12,12,true,
BLR,Belarus,11,12,false,CP02
BLZ,Belize,7,12,false,CP04|CP06|CP09|CP10|CP12
BMU,Bermuda,12,12,true,
BOL,Bolivia,7,12,false,CP04|CP06|CP09|CP10|CP12
BON,Bonaire,0,12,false,CP01|CP02|CP03|CP04|CP05|CP06|CP07|CP08|CP09|CP10|CP11|CP12
BRA,Brazil,7,12,false,CP04|CP06|CP09|CP10|CP12
BRN,Brunei Darussalam,7,12,false,CP04|CP06|CP09|CP10|CP12
BTN,Bhutan,12,12,true,
BWA,Botswana,7,12,false,CP04|CP06|CP09|CP10|CP12
CAF,Central African Republic,7,12,false,CP04|CP06|CP09|CP10|CP12
CAN,Canada,12,12,true,
CHE,Switzerland,12,12,true,
CHL,Chile,12,12,true,
CHN,China,7,12,false,CP04|CP06|CP09|CP10|CP12
