economy_code,economy_name,icp_participation_status,armilar_category,data_status,reason
ABW,Aruba,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ABW,Aruba,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ABW,Aruba,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ABW,Aruba,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ABW,Aruba,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
AGO,Angola,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
AGO,Angola,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
AGO,Angola,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
AGO,Angola,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
AGO,Angola,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
AIA,Anguilla,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
AIA,Anguilla,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
AIA,Anguilla,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
AIA,Anguilla,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
AIA,Anguilla,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ALB,Albania,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ALB,Albania,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ALB,Albania,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
ALB,Albania,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
