economy_code,armilar_category,chosen_source_id,candidate_source_id,chosen_value_lcu,candidate_value_lcu,relative_difference,candidate_complete_proxy_set,candidate_missing_proxy_categories,selection_basis,status
AND,CP04,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,503823674.39,503823674.39,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AND,CP06,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,27471783.06,27471783.06,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AND,CP09,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,64997107.07,64997107.07,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AND,CP10,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,16972568.96,16972568.96,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AND,CP12,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,139139089.67,139139089.67,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AUS,CP04,OECD_TABLE5_T501,OECD_TABLE5_T501,276856000000,276856000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AUS,CP06,OECD_TABLE5_T501,OECD_TABLE5_T501,80653000000,80653000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AUS,CP09,OECD_TABLE5_T501,OECD_TABLE5_T501,123220000000,123220000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AUS,CP10,OECD_TABLE5_T501,OECD_TABLE5_T501,41287000000,41287000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AUS,CP12,OECD_TABLE5_T501,OECD_TABLE5_T501,159435000000,159435000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AUS,CP04,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,276856000000,274130000000,0.009846273875227555118906579594,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
AUS,CP06,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,80653000000,80653000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
AUS,CP09,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,123220000000,123220000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
AUS,CP10,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,41287000000,41287000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
AUS,CP12,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,159435000000,159435000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
AUT,CP04,OECD_TABLE5_T501,OECD_TABLE5_T501,49928640000.00,49928640000.00,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AUT,CP06,OECD_TABLE5_T501,OECD_TABLE5_T501,7923480000.00,7923480000.00,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
