official_page_name,normalized_name,economy_code,world_bank_name,mapping_method,status
Algeria,algeria,DZA,Algeria,NORMALIZED_EXACT,MAPPED
Angola,angola,AGO,Angola,NORMALIZED_EXACT,MAPPED
Benin,benin,BEN,Benin,NORMALIZED_EXACT,MAPPED
Botswana,botswana,BWA,Botswana,NORMALIZED_EXACT,MAPPED
Burkina Faso,burkina faso,BFA,Burkina Faso,NORMALIZED_EXACT,MAPPED
Burundi,burundi,BDI,Burundi,NORMALIZED_EXACT,MAPPED
Cabo Verde,cabo verde,CPV,Cabo Verde,NORMALIZED_EXACT,MAPPED
Cameroon,cameroon,CMR,Cameroon,NORMALIZED_EXACT,MAPPED
Central African Republic,central african republic,CAF,Central African Republic,NORMALIZED_EXACT,MAPPED
Chad,chad,TCD,Chad,NORMALIZED_EXACT,MAPPED
Comoros,comoros,COM,Comoros,NORMALIZED_EXACT,MAPPED
the Democratic Republic of Congo,the democratic republic of congo,COD,"Congo, Dem. Rep.",EXPLICIT_CODE_ALIAS,MAPPED
the Republic of Congo,the republic of congo,COG,"Congo, Rep.",EXPLICIT_CODE_ALIAS,MAPPED
Côte d’Ivoire,cote d ivoire,CIV,Cote d'Ivoire,EXPLICIT_CODE_ALIAS,MAPPED
Djibouti,djibouti,DJI,Djibouti,NORMALIZED_EXACT,MAPPED
"Egypt, Arab Rep.",egypt arab rep,EGY,"Egypt, Arab Rep.",EXPLICIT_CODE_ALIAS,MAPPED
Equatorial Guinea,equatorial guinea,GNQ,Equatorial Guinea,NORMALIZED_EXACT,MAPPED
Eswatini,eswatini,SWZ,Eswatini,NORMALIZED_EXACT,MAPPED
Ethiopia,ethiopia,ETH,Ethiopia,NORMALIZED_EXACT,MAPPED
Gabon,gabon,GAB,Gabon,NORMALIZED_EXACT,MAPPED
The Gambia,the gambia,GMB,"Gambia, The",EXPLICIT_CODE_ALIAS,MAPPED
Ghana,ghana,GHA,Ghana,NORMALIZED_EXACT,MAPPED
Guinea,guinea,GIN,Guinea,NORMALIZED_EXACT,MAPPED
Guinea-Bissau,guinea bissau,GNB,Guinea-Bissau,NORMALIZED_EXACT,MAPPED
Kenya,kenya,KEN,Kenya,NORMALIZED_EXACT,MAPPED
Lesotho,lesotho,LSO,Lesotho,NORMALIZED_EXACT,MAPPED
Liberia,liberia,LBR,Liberia,NORMALIZED_EXACT,MAPPED
Madagascar,madagascar,MDG,Madagascar,NORMALIZED_EXACT,MAPPED
Malawi,malawi,MWI,Malawi,NORMALIZED_EXACT,MAPPED
Mali,mali,MLI,Mali,NORMALIZED_EXACT,MAPPED
Mauritania,mauritania,MRT,Mauritania,NORMALIZED_EXACT,MAPPED
Mauritius,mauritius,MUS,Mauritius,NORMALIZED_EXACT,MAPPED
Morocco,morocco,MAR,Morocco,NORMALIZED_EXACT,MAPPED
Mozambique,mozambique,MOZ,Mozambique,NORMALIZED_EXACT,MAPPED
Namibia,namibia,NAM,Namibia,NORMALIZED_EXACT,MAPPED
Niger,niger,NER,Niger,NORMALIZED_EXACT,MAPPED
Nigeria,nigeria,NGA,Nigeria,NORMALIZED_EXACT,MAPPED
Rwanda,rwanda,RWA,Rwanda,NORMALIZED_EXACT,MAPPED
São Tomé and Príncipe,sao tome and principe,STP,Sao Tome and Principe,EXPLICIT_CODE_ALIAS,MAPPED
Senegal,senegal,SEN,Senegal,NORMALIZED_EXACT,MAPPED
Seychelles,seychelles,SYC,Seychelles,NORMALIZED_EXACT,MAPPED
Sierra Leone,sierra leone,SLE,Sierra Leone,NORMALIZED_EXACT,MAPPED
Somalia,somalia,SOM,Somalia,NORMALIZED_EXACT,MAPPED
South Africa,south africa,ZAF,South Africa,NORMALIZED_EXACT,MAPPED
South Sudan,south sudan,SSD,South Sudan,NORMALIZED_EXACT,MAPPED
Sudan,sudan,SDN,Sudan,NORMALIZED_EXACT,MAPPED
Tanzania,tanzania,TZA,Tanzania,NORMALIZED_EXACT,MAPPED
Togo,togo,TGO,Togo,NORMALIZED_EXACT,MAPPED
Tunisia,tunisia,TUN,Tunisia,NORMALIZED_EXACT,MAPPED
Uganda,uganda,UGA,Uganda,NORMALIZED_EXACT,MAPPED
Zambia,zambia,ZMB,Zambia,NORMALIZED_EXACT,MAPPED
Zimbabwe,zimbabwe,ZWE,Zimbabwe,NORMALIZED_EXACT,MAPPED
Bangladesh,bangladesh,BGD,Bangladesh,NORMALIZED_EXACT,MAPPED
Bhutan,bhutan,BTN,Bhutan,NORMALIZED_EXACT,MAPPED
Brunei Darussalam,brunei darussalam,BRN,Brunei Darussalam,NORMALIZED_EXACT,MAPPED
Cambodia,cambodia,KHM,Cambodia,NORMALIZED_EXACT,MAPPED
China,china,CHN,China,NORMALIZED_EXACT,MAPPED
Fiji,fiji,FJI,Fiji,NORMALIZED_EXACT,MAPPED
"Hong Kong SAR, China",hong kong sar china,HKG,"Hong Kong SAR, China",EXPLICIT_CODE_ALIAS,MAPPED
India,india,IND,India,NORMALIZED_EXACT,MAPPED
