economy_code,source_id,direct_categories_compared,comparison_count,median_supplemental_to_source90_nominal_ratio,status
AND,UNDATA_SNA_TABLE32,,0,0,NOT_TESTABLE_NO_DIRECT_OVERLAP
AUS,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.036419602305527782441511684,PASS_COMPATIBLE_SCALE
AUS,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.036419602305527782441511684,PASS_COMPATIBLE_SCALE
AUT,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.042821506659048534163862926,PASS_COMPATIBLE_SCALE
AUT,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.042821506659048534163862926,PASS_COMPATIBLE_SCALE
AUT,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.001050572292999988275834107,PASS_COMPATIBLE_SCALE
AUT,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.001070458367897459271137535,PASS_COMPATIBLE_SCALE
AZE,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1,PASS_COMPATIBLE_SCALE
BEL,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.094699433402222821934279504,PASS_COMPATIBLE_SCALE
BEL,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.094699433402222821934279504,PASS_COMPATIBLE_SCALE
BEL,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1,PASS_COMPATIBLE_SCALE
BEL,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000007925877196458718068622,PASS_COMPATIBLE_SCALE
BFA,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.102349256941558563923816432,PASS_COMPATIBLE_SCALE
BGR,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,0.5112945647508883218918109225,PASS_COMPATIBLE_SCALE
BGR,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.5112945647508883218918109225,PASS_COMPATIBLE_SCALE
BGR,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.5112915896153087828582871769,PASS_COMPATIBLE_SCALE
BGR,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999983341248756263994126363,PASS_COMPATIBLE_SCALE
BIH,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999915262576871488589954937,PASS_COMPATIBLE_SCALE
BLR,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9625654244224941954271772067,PASS_COMPATIBLE_SCALE
BLZ,UNDATA_SNA_TABLE32,,0,0,NOT_TESTABLE_NO_DIRECT_OVERLAP
BMU,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000000159947447009055574527,PASS_COMPATIBLE_SCALE
BTN,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1,PASS_COMPATIBLE_SCALE
CAN,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9932869119841661553693526215,PASS_COMPATIBLE_SCALE
CAN,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9932869119841661553693526215,PASS_COMPATIBLE_SCALE
CHE,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9704473165164439918273965452,PASS_COMPATIBLE_SCALE
CHE,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9704473165164439918273965452,PASS_COMPATIBLE_SCALE
CHL,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000147512312652210242532491,PASS_COMPATIBLE_SCALE
CHL,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000147572865288686368883101,PASS_COMPATIBLE_SCALE
COL,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.003349735639449769315843945,PASS_COMPATIBLE_SCALE
COL,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.003349735639449769315843945,PASS_COMPATIBLE_SCALE
CRI,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9304437812671266261229379912,PASS_COMPATIBLE_SCALE
