id,surveyid,titl,nation,authenty,data_coll_start,data_coll_end,created,changed
519,EGY-CAPMAS-IO-2014-2015,"Input-Output Tables 2014-2015",A.R.E,"CAPMAS - Ministry of Planning,Monitoring and Administrative reform",2012,2013,Feb-04-21,Feb-04-21
516,EGY-CAPMAS-IO-2016-2017,"Input-Output Tables 2016-2017",A.R.E,"CAPMAS - Ministry of Planning and Economic Development",2016,2017,Jan-14-21,Jan-14-21
510,EGY-CAPMAS-IO-2008-2009,"Inputs and Outputs Tables 2008/2009",A.R.E,"CAPMAS - Ministry of Planning",2010,2011,Jan-10-21,Jan-14-21
513,EGY-CAPMAS-IO-2010-2011,"Inputs and Outputs Tables 2010/2011",A.R.E,"CAPMAS - Ministry of Planning",2013,2013,Jan-14-21,Jan-14-21
514,EGY-CAPMAS-IO-2012-2013,"Inputs and Outputs Tables 2012/2013",A.R.E,"CAPMAS - Ministry of Planning",2012,2013,Jan-14-21,Jan-14-21
520,EGY-CAPMAS-SAM-2014-2015,"Regionalized Social Accounting Matrix For the Egyptian Economy 2014/ 2015",A.R.E,"CAPMAS - Ministry of Planning, Follow-up and Administrative Reform",2010,2011,Feb-09-21,Feb-09-21
247,EGY-CAPMAS-SAM-2010-2011,"Social Accounting Matrix For the Egyptian Economy 2010/2011",A.R.E,"CAPMAS - Ministry of Planning",2010,2011,Mar-29-18,Feb-09-21
242,EGY-CAPMAS-SUT-2010-2011,"Supply & Use Table 2010 / 2011","Arab Republic of Egypt","Central Agency for Public Mobilization and Statistics - Ministry of Planning ",2013,2013,Mar-28-18,Mar-28-18
241,EGY-CAPMAS-SUT-2008-2009,"Supply and Use tables 2008 / 2009",A.R.E,"Central Agency for Public Mobilization and Statistics - Ministry of Planning",2010,2011,Mar-28-18,Jan-05-21
243,EGY-CAPMAS-SUT-2012-2013,"Supply and Use tables 2012 / 2013",A.R.E,"Central Agency for Public Mobilization and Statistics - Ministry of Planning",2012,2013,Mar-28-18,Jan-05-21
518,EGY-CAPMAS-SUT-2017-2018,"Supply and Use tables 2017 / 2018",A.R.E,"Central Agency for Public Mobilization and Statistics - Ministry of Planning and Economic Development ",2016,2017,Jan-25-21,Jan-25-21
507,EGY-CAPMAS-SUT-2014-2015,"Supply-Use Tables 2014 / 2015",A.R.E,"Central Agency for Public Mobilization and Statistics - Ministry of Planning, Monitoring and administrative reform",2016,2017,Jan-05-21,Jan-05-21
508,EGY-CAPMAS-SUT-2016-2017,"Supply-Use Tables 2016/2017",A.R.E,"Central Agency for Public Mobilization and Statistics - Ministry of Planning and Economic Development",2016,2017,Jan-05-21,Jan-05-21
