STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP052,XDC,V,N,T0500,2021,2972.7,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP062,XDC,V,N,T0500,2021,22088.4,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP091,XDC,V,N,T0500,2021,8527.2,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP012,XDC,V,N,T0500,2021,13807.3,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP074,XDC,V,N,T0500,2021,3650.3,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP044,XDC,V,N,T0500,2021,21130.9,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP055,XDC,V,N,T0500,2021,4832.5,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP07,XDC,V,N,T0500,2021,150159.2,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP133,XDC,V,N,T0500,2021,19595.4,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP01,XDC,V,N,T0500,2021,162366.3,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP097,XDC,V,N,T0500,2021,11199.8,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP11,XDC,V,N,T0500,2021,78791.8,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP131,XDC,V,N,T0500,2021,30269.3,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP103,XDC,V,N,T0500,2021,96.2,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP011,XDC,V,N,T0500,2021,148559,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP092,XDC,V,N,T0500,2021,15917.7,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP095,XDC,V,N,T0500,2021,791.7,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP063,XDC,V,N,T0500,2021,6029.2,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP061,XDC,V,N,T0500,2021,19709.9,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP121,XDC,V,N,T0500,2021,64960.7,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP083,XDC,V,N,T0500,2021,35641.4,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP042,XDC,V,N,T0500,2021,203828.7,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP101,XDC,V,N,T0500,2021,589.2,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP104,XDC,V,N,T0500,2021,3452.1,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP056,XDC,V,N,T0500,2021,14765.4,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,CP132,XDC,V,N,T0500,2021,12548.5,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5A_T501(2.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,_T,XDC,V,N,T0500,2021,1271245.1,,F,1,A,6,EUR
