STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FRA,S14,S1,P31DC,_Z,_Z,_T,XDC,V,N,T0117,2021,1271245,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP012,XDC,V,N,T0117,2021,1653,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP12,XDC,V,N,T0117,2021,13301,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP05,XDC,V,N,T0117,2021,5887,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP032,XDC,V,N,T0117,2021,761,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP061,XDC,V,N,T0117,2021,2027,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP105,XDC,V,N,T0117,2021,438,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP112,XDC,V,N,T0117,2021,513,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP073,XDC,V,N,T0117,2021,1415,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP044,XDC,V,N,T0117,2021,707,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP127,XDC,V,N,T0117,2021,1173,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP042,XDC,V,N,T0117,2021,22060,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP082,XDC,V,N,T0117,2021,478,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP062,XDC,V,N,T0117,2021,2571,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP123,XDC,V,N,T0117,2021,605,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP023,XDC,V,N,T0117,2021,347,,F,1,A,6,EUR
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5_T501(1.0),I,A,FIN,S14,S1,P31DC,_Z,_Z,CP055,XDC,V,N,T0117,2021,747,,F,1,A,6,EUR
