economy_code,economy_name,category_code,real_expenditure_central,real_expenditure_lower,real_expenditure_upper,evidence_class,method_id,model_version,source_ids,donor_economies,source_state,transformation_method,core_eligible,global_eligible,validation_mae,validation_bias,notes
AUS,Australia,CP01,66578839442.688942,66578839442.688942,66578839442.688942,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1101000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP02,13531355299.576166,13531355299.576166,13531355299.576166,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,1102100+1102200|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP03,33047441563.63699,33047441563.63699,33047441563.63699,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1103000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP04,173339541368.56683,173339541368.56683,173339541368.56683,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9060000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP05,38060263123.589516,38060263123.589516,38060263123.589516,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1105000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP06,64920818386.841812,64920818386.841812,64920818386.841812,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9080000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP07,61343225001.871895,61343225001.871895,61343225001.871895,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1107000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP08,35981351266.957855,35981351266.957855,35981351266.957855,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1108000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP09,80214816705.820343,80214816705.820343,80214816705.820343,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9110000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP10,38158523533.059875,38158523533.059875,38158523533.059875,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9120000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP11,39774635918.112526,39774635918.112526,39774635918.112526,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1111000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUS,Australia,CP12,109534392573.81987,109534392573.81987,109534392573.81987,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9140000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AUT,Austria,CP01,23061554596.261406,23061554596.261406,23061554596.261406,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1101000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUT,Austria,CP02,11604275103.008028,11604275103.008028,11604275103.008028,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,1102100+1102200|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,true,true,,,Converted from strict Step 2 matrix without changing value.
AUT,Austria,CP03,10480600642.809101,10480600642.809101,10480600642.809101,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1103000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUT,Austria,CP04,79542129807.37001,79542129807.37001,79542129807.37001,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9060000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AUT,Austria,CP05,15011514803.911293,15011514803.911293,15011514803.911293,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1105000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUT,Austria,CP06,13291488872.812534,13291488872.812534,13291488872.812534,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9080000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AUT,Austria,CP07,20016015523.720455,20016015523.720455,20016015523.720455,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1107000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUT,Austria,CP08,8567838911.2564812,8567838911.2564812,8567838911.2564812,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1108000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AUT,Austria,CP09,18752563912.110111,18752563912.110111,18752563912.110111,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9110000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
