scope,economy_code,category_code,evidence_class,cell_count,central_expenditure,core_eligible_cells,global_eligible_cells
category,*,CP01,A_OFFICIAL_EXACT,62,4009804171706.4820522555,62,62
category,*,CP02,B_OFFICIAL_DETERMINISTIC,62,1105489966272.3390660806,62,62
category,*,CP03,A_OFFICIAL_EXACT,62,1303233616722.0041312398,62,62
category,*,CP04,B_OFFICIAL_DETERMINISTIC,62,10187907614741.320447905,62,62
category,*,CP05,A_OFFICIAL_EXACT,62,1836000103032.5097456543,62,62
category,*,CP06,B_OFFICIAL_DETERMINISTIC,62,5309609533319.8856125774,62,62
category,*,CP07,A_OFFICIAL_EXACT,62,3568523171547.855384863,62,62
category,*,CP08,A_OFFICIAL_EXACT,62,1338822161637.8736141706,62,62
category,*,CP09,B_OFFICIAL_DETERMINISTIC,62,3075947196996.458308934,62,62
category,*,CP10,B_OFFICIAL_DETERMINISTIC,62,1404243433603.5676921291,62,62
category,*,CP11,A_OFFICIAL_EXACT,62,2589243093309.81161297112,62,62
category,*,CP12,B_OFFICIAL_DETERMINISTIC,62,5537058151687.2032866757,62,62
economy,AUS,*,A_OFFICIAL_EXACT,6,274785756316.857724,6,6
economy,AUS,*,B_OFFICIAL_DETERMINISTIC,6,479699447867.684896,6,6
economy,AUT,*,A_OFFICIAL_EXACT,6,99109497719.3441122,6,6
economy,AUT,*,B_OFFICIAL_DETERMINISTIC,6,153632763943.7853254,6,6
economy,AZE,*,A_OFFICIAL_EXACT,6,42290612281.7522141,6,6
economy,AZE,*,B_OFFICIAL_DETERMINISTIC,6,57240263414.6901086,6,6
economy,BEL,*,A_OFFICIAL_EXACT,6,104301090620.127823,6,6
economy,BEL,*,B_OFFICIAL_DETERMINISTIC,6,198556849935.5560303,6,6
economy,BFA,*,A_OFFICIAL_EXACT,6,14464364331.73750818,6,6
economy,BFA,*,B_OFFICIAL_DETERMINISTIC,6,16735925230.29333042,6,6
economy,BGR,*,A_OFFICIAL_EXACT,6,37820813514.2737145,6,6
economy,BGR,*,B_OFFICIAL_DETERMINISTIC,6,44065675965.0439910,6,6
economy,BIH,*,A_OFFICIAL_EXACT,6,13349584840.63571162,6,6
economy,BIH,*,B_OFFICIAL_DETERMINISTIC,6,25967841852.5966374,6,6
economy,BMU,*,A_OFFICIAL_EXACT,6,697291418.677309615,6,6
economy,BMU,*,B_OFFICIAL_DETERMINISTIC,6,2006241552.410200852,6,6
economy,BTN,*,A_OFFICIAL_EXACT,6,1897818425.40110753,6,6
economy,BTN,*,B_OFFICIAL_DETERMINISTIC,6,3420021078.986998445,6,6
economy,CAN,*,A_OFFICIAL_EXACT,6,391555918467.235736,6,6
economy,CAN,*,B_OFFICIAL_DETERMINISTIC,6,666250257652.827220,6,6
