reference_period,release_date,source_url,raw_file
2021-01,2021-02-23,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1612134000000&type=listMonth,release_calendar_2021-02.html
2021-02,2021-03-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1614553200000&type=listMonth,release_calendar_2021-03.html
2021-03,2021-04-16,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1617228000000&type=listMonth,release_calendar_2021-04.html
2021-04,2021-05-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1619820000000&type=listMonth,release_calendar_2021-05.html
2021-05,2021-06-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1622498400000&type=listMonth,release_calendar_2021-06.html
2021-06,2021-07-16,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1625090400000&type=listMonth,release_calendar_2021-07.html
2021-07,2021-08-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1627768800000&type=listMonth,release_calendar_2021-08.html
2021-08,2021-09-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1630447200000&type=listMonth,release_calendar_2021-09.html
2021-09,2021-10-20,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1633039200000&type=listMonth,release_calendar_2021-10.html
2021-10,2021-11-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1635721200000&type=listMonth,release_calendar_2021-11.html
2021-11,2021-12-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1638313200000&type=listMonth,release_calendar_2021-12.html
2021-12,2022-01-20,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1640991600000&type=listMonth,release_calendar_2022-01.html
2022-01,2022-02-23,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1643670000000&type=listMonth,release_calendar_2022-02.html
2022-02,2022-03-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1646089200000&type=listMonth,release_calendar_2022-03.html
2022-03,2022-04-21,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1648764000000&type=listMonth,release_calendar_2022-04.html
2022-04,2022-05-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1651356000000&type=listMonth,release_calendar_2022-05.html
2022-05,2022-06-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1654034400000&type=listMonth,release_calendar_2022-06.html
2022-06,2022-07-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1656626400000&type=listMonth,release_calendar_2022-07.html
2022-07,2022-08-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1659304800000&type=listMonth,release_calendar_2022-08.html
2022-08,2022-09-16,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1661983200000&type=listMonth,release_calendar_2022-09.html
2022-09,2022-10-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1664575200000&type=listMonth,release_calendar_2022-10.html
2022-10,2022-11-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1667257200000&type=listMonth,release_calendar_2022-11.html
2022-11,2022-12-16,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1669849200000&type=listMonth,release_calendar_2022-12.html
2022-12,2023-01-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1672527600000&type=listMonth,release_calendar_2023-01.html
2023-01,2023-02-23,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1675206000000&type=listMonth,release_calendar_2023-02.html
2023-02,2023-03-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1677625200000&type=listMonth,release_calendar_2023-03.html
2023-03,2023-04-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1680300000000&type=listMonth,release_calendar_2023-04.html
2023-04,2023-05-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1682892000000&type=listMonth,release_calendar_2023-05.html
2023-05,2023-06-16,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1685570400000&type=listMonth,release_calendar_2023-06.html
2023-06,2023-07-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1688162400000&type=listMonth,release_calendar_2023-07.html
2023-07,2023-08-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1690840800000&type=listMonth,release_calendar_2023-08.html
2023-08,2023-09-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1693519200000&type=listMonth,release_calendar_2023-09.html
2023-09,2023-10-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1696111200000&type=listMonth,release_calendar_2023-10.html
2023-10,2023-11-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1698793200000&type=listMonth,release_calendar_2023-11.html
2023-11,2023-12-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1701385200000&type=listMonth,release_calendar_2023-12.html
2023-12,2024-01-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1704063600000&type=listMonth,release_calendar_2024-01.html
2024-01,2024-02-22,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1706742000000&type=listMonth,release_calendar_2024-02.html
2024-02,2024-03-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1709247600000&type=listMonth,release_calendar_2024-03.html
2024-03,2024-04-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1711922400000&type=listMonth,release_calendar_2024-04.html
2024-04,2024-05-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1714514400000&type=listMonth,release_calendar_2024-05.html
2024-05,2024-06-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1717192800000&type=listMonth,release_calendar_2024-06.html
2024-06,2024-07-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1719784800000&type=listMonth,release_calendar_2024-07.html
2024-07,2024-08-20,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1722463200000&type=listMonth,release_calendar_2024-08.html
2024-08,2024-09-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1725141600000&type=listMonth,release_calendar_2024-09.html
2024-09,2024-10-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1727733600000&type=listMonth,release_calendar_2024-10.html
2024-10,2024-11-19,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1730415600000&type=listMonth,release_calendar_2024-11.html
2024-11,2024-12-18,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1733007600000&type=listMonth,release_calendar_2024-12.html
2024-12,2025-01-17,https://ec.europa.eu/eurostat/web/main/news/release-calendar?start=1735686000000&type=listMonth,release_calendar_2025-01.html
